timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.890625,-399.902344,149.414062,63.964844,-97.167969
-0.886719,-291.015625,97.167969,49.804688,-212.402344
-0.882812,296.875000,-49.804688,0.976562,95.214844
-0.878906,458.984375,-55.664062,-3.906250,272.460938
-0.875000,183.593750,47.363281,30.273438,245.605469
-0.871094,-351.562500,158.691406,78.613281,-46.386719
-0.867188,-347.167969,103.515625,68.359375,-236.816406
-0.863281,243.164062,-45.410156,16.601562,54.199219
-0.859375,460.937500,-31.738281,6.347656,277.832031
-0.855469,254.882812,45.410156,34.667969,282.226562
-0.851562,-308.105469,133.300781,81.054688,-33.691406
-0.847656,-387.207031,126.953125,76.171875,-245.605469
-0.843750,183.593750,-15.625000,27.343750,14.160156
-0.839844,443.359375,-47.363281,12.207031,234.863281
-0.835938,314.453125,6.835938,29.785156,284.179688
-0.832031,-240.234375,131.347656,80.566406,19.531250
-0.828125,-414.062500,149.902344,90.820312,-229.492188
-0.824219,104.980469,1.464844,44.921875,-35.644531
-0.820312,423.339844,-56.640625,20.996094,206.054688
-0.816406,372.558594,-16.113281,29.785156,293.457031
-0.812500,-164.062500,133.300781,88.378906,75.195312
-0.808594,-439.941406,154.785156,100.585938,-223.632812
-0.804688,17.089844,4.394531,43.457031,-112.304688
-0.800781,414.062500,-32.226562,16.113281,193.847656
-0.796875,413.574219,-16.113281,21.484375,309.570312
-0.792969,-104.980469,96.191406,67.382812,84.960938
-0.789062,-449.707031,156.738281,82.519531,-216.308594
-0.785156,-68.847656,44.433594,37.597656,-144.042969
-0.781250,386.718750,-29.296875,5.371094,172.363281
-0.777344,427.734375,-26.855469,9.277344,303.222656
-0.773438,-54.199219,83.007812,57.128906,119.140625
-0.769531,-447.265625,161.132812,88.378906,-174.804688
-0.765625,-143.554688,76.660156,61.523438,-153.320312
-0.761719,348.144531,-51.757812,12.207031,130.859375
-0.757812,435.058594,-61.035156,0.976562,266.601562
-0.753906,20.019531,79.101562,50.781250,151.367188
-0.750000,-436.523438,163.574219,89.843750,-161.621094
-0.746094,-221.679688,73.730469,54.687500,-215.820312
-0.742188,333.007812,-36.621094,9.277344,118.652344
-0.738281,444.824219,-41.503906,5.859375,270.996094
-0.734375,79.101562,60.546875,39.062500,178.222656
-0.730469,-409.179688,164.550781,83.496094,-115.722656
-0.726562,-277.343750,102.539062,65.917969,-222.167969
-0.722656,301.757812,-24.902344,17.578125,101.562500
-0.718750,448.242188,-40.527344,7.812500,263.183594
-0.714844,153.808594,33.203125,35.156250,201.660156
-0.710938,-361.816406,152.343750,82.519531,-82.031250
-0.707031,-327.148438,110.839844,76.171875,-232.421875
-0.703125,260.742188,-48.828125,19.531250,63.476562
-0.699219,465.332031,-54.687500,6.347656,262.695312
-0.695312,234.863281,36.621094,34.667969,262.207031
-0.691406,-322.753906,152.832031,81.054688,-37.597656
-0.687500,-372.070312,125.976562,71.777344,-246.093750
-0.683594,204.589844,-21.484375,15.625000,23.437500
-0.679688,444.335938,-40.527344,0.976562,246.582031
-0.675781,296.875000,17.089844,22.949219,285.644531
-0.671875,-263.183594,119.140625,73.242188,-12.695312
-0.667969,-418.457031,122.070312,75.683594,-257.324219
-0.664062,124.511719,-10.742188,24.902344,-31.250000
-0.660156,430.175781,-48.828125,0.488281,215.820312
-0.656250,352.539062,-19.042969,7.812500,290.039062
-0.652344,-182.128906,114.257812,62.011719,53.710938
-0.648438,-427.246094,151.855469,83.984375,-213.378906
-0.644531,38.085938,0.976562,35.644531,-81.054688
-0.640625,413.574219,-55.664062,0.976562,197.753906
-0.636719,409.179688,-13.671875,9.765625,333.007812
-0.632812,-120.117188,110.351562,63.476562,106.933594
-0.628906,-453.613281,144.531250,81.054688,-212.402344
-0.625000,-49.316406,25.390625,31.738281,-134.277344
-0.621094,394.042969,-32.714844,-1.953125,185.546875
-0.617188,434.570312,-18.554688,6.347656,326.660156
-0.613281,-52.246094,92.773438,47.851562,125.976562
-0.609375,-437.988281,157.714844,74.218750,-183.593750
-0.605469,-112.792969,62.988281,45.898438,-156.250000
-0.601562,380.859375,-24.414062,7.324219,172.851562
-0.597656,446.777344,-43.945312,0.000000,303.222656
-0.593750,12.207031,66.894531,45.410156,147.949219
-0.589844,-417.968750,170.410156,88.378906,-136.230469
-0.585938,-187.011719,95.703125,63.964844,-165.527344
-0.582031,334.960938,-44.921875,10.742188,127.441406
-0.578125,446.777344,-59.082031,-2.441406,273.437500
-0.574219,75.683594,66.406250,38.574219,185.546875
-0.570312,-413.085938,153.320312,78.125000,-124.511719
-0.566406,-264.160156,72.753906,52.734375,-225.097656
-0.562500,314.941406,-47.363281,1.464844,100.585938
-0.558594,458.007812,-48.828125,-1.464844,278.320312
-0.554688,144.531250,37.109375,38.085938,218.261719
-0.550781,-376.464844,136.230469,85.449219,-92.285156
-0.546875,-313.476562,96.679688,73.730469,-234.863281
-0.542969,276.367188,-35.644531,23.437500,82.519531
-0.539062,451.171875,-54.199219,11.230469,261.230469
-0.535156,207.031250,15.625000,35.156250,230.468750
-0.531250,-324.218750,138.671875,83.496094,-49.316406
-0.527344,-347.656250,137.207031,78.613281,-211.914062
-0.523438,220.703125,-28.320312,22.460938,42.480469
-0.519531,440.917969,-72.265625,3.417969,225.585938
-0.515625,282.714844,9.277344,27.343750,270.019531
-0.511719,-269.531250,134.765625,80.566406,-0.488281
-0.507812,-402.343750,121.093750,80.566406,-255.371094
-0.503906,144.531250,-25.390625,23.925781,-32.714844
-0.500000,439.453125,-42.480469,6.347656,231.445312
-0.496094,347.167969,1.464844,21.484375,299.804688
-0.492188,-205.078125,111.328125,66.894531,28.320312
-0.488281,-422.363281,133.789062,72.753906,-247.070312
-0.484375,74.218750,14.648438,19.531250,-66.406250
-0.480469,418.945312,-27.343750,-5.371094,215.820312
-0.476562,373.046875,-38.574219,-6.347656,280.273438
