timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.890625,115.234375,12.207031,31.250000,45.898438
-0.886719,125.976562,12.207031,28.808594,78.613281
-0.882812,52.734375,23.437500,37.597656,71.777344
-0.878906,-59.570312,40.039062,53.710938,12.695312
-0.875000,-36.621094,39.550781,51.757812,-25.390625
-0.871094,106.445312,22.949219,36.132812,37.109375
-0.867188,136.718750,16.113281,35.156250,83.007812
-0.863281,78.125000,20.507812,40.527344,87.402344
-0.859375,-39.550781,29.785156,52.246094,25.878906
-0.855469,-45.410156,32.226562,51.269531,-23.925781
-0.851562,82.519531,11.718750,36.132812,20.019531
-0.847656,120.605469,-0.976562,32.714844,65.917969
-0.843750,78.613281,9.765625,35.644531,80.566406
-0.839844,-36.621094,34.179688,49.316406,24.902344
-0.835938,-61.035156,47.851562,53.710938,-28.808594
-0.832031,63.964844,29.785156,40.039062,12.207031
-0.828125,129.394531,17.578125,34.667969,68.359375
-0.824219,99.609375,21.484375,38.085938,87.402344
-0.820312,-27.343750,38.574219,54.199219,34.667969
-0.816406,-75.195312,47.363281,62.011719,-26.367188
-0.812500,41.992188,32.226562,46.386719,-1.464844
-0.808594,122.070312,24.414062,36.132812,64.941406
-0.804688,101.074219,26.367188,37.109375,84.960938
-0.800781,-16.601562,34.667969,48.339844,35.156250
-0.796875,-76.660156,42.480469,57.128906,-21.972656
-0.792969,26.855469,34.667969,47.363281,-6.347656
-0.789062,125.000000,23.925781,34.179688,59.082031
-0.785156,111.328125,22.949219,33.203125,80.566406
-0.781250,0.000000,33.691406,45.898438,46.386719
-0.777344,-72.753906,40.527344,58.593750,-11.718750
-0.773438,18.066406,30.761719,48.339844,-12.207031
-0.769531,132.324219,17.578125,30.273438,58.105469
-0.765625,121.582031,19.042969,31.738281,87.402344
-0.761719,17.578125,35.156250,45.898438,62.011719
-0.757812,-72.753906,45.410156,56.640625,-2.441406
-0.753906,-1.464844,36.621094,46.875000,-15.136719
-0.750000,125.000000,20.996094,31.250000,61.035156
-0.746094,125.488281,19.042969,31.738281,88.867188
-0.742188,37.597656,27.832031,43.457031,66.894531
-0.738281,-66.406250,38.574219,53.222656,4.394531
-0.734375,-13.183594,35.644531,50.781250,-13.671875
-0.730469,125.976562,20.507812,41.503906,60.058594
-0.726562,131.835938,19.042969,35.156250,86.914062
-0.722656,53.710938,25.390625,41.015625,76.660156
-0.718750,-53.222656,38.085938,57.128906,18.554688
-0.714844,-19.042969,33.203125,59.082031,-6.347656
-0.710938,127.929688,20.019531,45.410156,68.359375
-0.707031,150.878906,24.414062,37.109375,96.679688
-0.703125,73.730469,30.761719,39.062500,76.171875
