timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.890625,49.804688,48.828125,53.710938,-8.789062
-0.886719,145.019531,24.902344,35.644531,87.890625
-0.882812,124.511719,24.414062,33.203125,123.046875
-0.878906,-10.742188,50.781250,57.128906,58.105469
-0.875000,-77.636719,60.546875,74.707031,-31.738281
-0.871094,37.597656,45.898438,57.617188,-15.625000
-0.867188,145.019531,30.761719,35.644531,85.937500
-0.863281,129.882812,37.597656,34.667969,121.582031
-0.859375,5.371094,63.476562,52.246094,55.664062
-0.855469,-82.031250,80.078125,71.777344,-30.761719
-0.851562,17.089844,68.847656,65.917969,-21.484375
-0.847656,153.320312,43.457031,41.015625,87.890625
-0.843750,147.949219,37.109375,35.644531,125.000000
-0.839844,29.785156,57.617188,53.710938,78.125000
-0.835938,-69.335938,79.589844,74.707031,-12.207031
-0.832031,0.976562,70.800781,66.406250,-28.808594
-0.828125,147.949219,42.968750,36.621094,81.542969
-0.824219,166.015625,37.597656,34.667969,130.859375
-0.820312,60.546875,56.152344,59.082031,97.656250
-0.816406,-63.964844,80.566406,83.984375,1.953125
-0.812500,-20.996094,70.312500,67.871094,-39.550781
-0.808594,118.164062,41.992188,29.296875,49.804688
-0.804688,127.441406,44.921875,25.878906,88.378906
-0.800781,33.203125,54.199219,40.039062,62.988281
-0.796875,-112.304688,77.148438,59.570312,-44.921875
-0.792969,-93.750000,83.496094,62.011719,-101.562500
-0.789062,50.781250,55.664062,33.691406,-13.671875
-0.785156,67.871094,45.410156,23.437500,28.808594
-0.781250,-6.835938,54.687500,31.738281,20.019531
-0.777344,-145.507812,85.937500,60.058594,-64.453125
-0.773438,-142.578125,93.261719,67.871094,-128.417969
-0.769531,14.160156,60.058594,38.574219,-54.687500
-0.765625,68.847656,46.875000,27.343750,24.414062
-0.761719,29.296875,54.199219,35.644531,58.593750
-0.757812,-100.585938,81.542969,60.546875,-23.925781
-0.753906,-112.792969,85.449219,69.824219,-95.214844
-0.750000,49.316406,54.687500,49.804688,-12.207031
-0.746094,125.488281,34.667969,36.621094,79.589844
-0.742188,93.750000,32.226562,36.621094,111.328125
-0.738281,-37.109375,60.058594,62.011719,39.550781
-0.734375,-72.265625,72.753906,80.566406,-33.203125
-0.730469,68.359375,47.363281,63.476562,17.578125
-0.726562,159.179688,28.320312,44.433594,112.792969
-0.722656,141.113281,27.343750,40.527344,151.855469
-0.718750,8.300781,51.757812,64.941406,79.589844
-0.714844,-57.617188,67.871094,82.519531,-8.300781
-0.710938,62.011719,47.363281,59.082031,16.113281
-0.707031,167.968750,25.878906,42.480469,114.746094
-0.703125,156.738281,21.972656,44.921875,156.250000
-0.699219,34.667969,42.480469,64.453125,101.074219
-0.695312,-54.687500,60.058594,78.125000,5.371094
-0.691406,42.968750,41.503906,60.058594,6.347656
-0.687500,169.921875,14.160156,40.527344,115.722656
-0.683594,164.062500,8.789062,39.062500,156.738281
-0.679688,44.433594,26.855469,58.593750,102.050781
-0.675781,-57.617188,54.199219,80.078125,3.417969
-0.671875,21.484375,53.222656,69.335938,-6.835938
-0.667969,161.132812,32.226562,42.480469,104.003906
-0.664062,161.621094,22.949219,32.714844,140.625000
-0.660156,56.640625,39.062500,52.734375,106.933594
-0.656250,-50.292969,62.988281,82.519531,18.066406
-0.652344,7.812500,51.757812,78.613281,-6.835938
-0.648438,150.390625,22.460938,51.269531,99.609375
-0.644531,164.062500,19.042969,40.527344,143.554688
-0.640625,76.660156,37.109375,52.734375,122.558594
-0.636719,-45.898438,62.988281,80.566406,27.832031
-0.632812,-7.812500,58.593750,75.195312,-18.066406
-0.628906,145.507812,23.925781,41.992188,82.031250
-0.625000,173.828125,20.996094,42.968750,138.671875
-0.621094,104.492188,29.296875,51.269531,132.812500
