timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.937500,25.390625,30.761719,38.085938,19.042969
-0.933594,4.394531,31.250000,38.574219,10.253906
-0.929688,53.222656,26.367188,37.109375,22.460938
-0.925781,32.226562,30.273438,39.062500,31.738281
-0.921875,12.207031,35.156250,39.062500,22.460938
-0.917969,27.343750,36.132812,38.085938,15.136719
-0.914062,2.929688,36.132812,39.062500,7.324219
-0.910156,47.851562,29.296875,32.714844,17.089844
-0.906250,34.667969,33.691406,33.203125,26.855469
-0.902344,9.765625,31.738281,39.550781,18.554688
-0.898438,35.156250,20.019531,37.597656,13.671875
-0.894531,6.347656,20.019531,37.109375,5.371094
-0.890625,39.550781,23.437500,35.156250,14.160156
-0.886719,39.550781,32.226562,38.085938,28.320312
-0.882812,7.324219,39.550781,40.527344,20.507812
-0.878906,34.667969,35.644531,38.574219,10.742188
-0.875000,6.347656,34.667969,39.062500,2.929688
-0.871094,30.761719,29.785156,33.691406,8.300781
-0.867188,45.410156,29.785156,36.132812,24.414062
-0.863281,5.859375,35.644531,40.039062,19.531250
-0.859375,25.390625,34.179688,39.062500,9.765625
-0.855469,-2.441406,34.179688,40.039062,0.488281
-0.851562,20.996094,29.296875,35.156250,3.906250
-0.847656,47.363281,27.832031,35.156250,24.902344
-0.843750,3.417969,32.714844,41.503906,26.855469
-0.839844,29.785156,31.250000,40.039062,23.437500
-0.835938,15.625000,32.714844,42.968750,15.136719
-0.832031,17.089844,30.273438,41.503906,17.089844
-0.828125,47.851562,27.343750,40.039062,35.156250
-0.824219,4.394531,34.179688,44.921875,32.714844
-0.820312,22.460938,36.132812,42.480469,23.437500
-0.816406,13.183594,34.667969,41.992188,18.066406
-0.812500,8.300781,32.226562,41.015625,17.089844
-0.808594,57.128906,29.785156,38.574219,37.109375
-0.804688,20.996094,32.226562,40.527344,38.574219
-0.800781,25.390625,35.156250,40.039062,29.296875
-0.796875,28.320312,38.085938,41.503906,28.808594
-0.792969,26.855469,38.085938,42.968750,27.343750
-0.789062,64.453125,34.667969,40.527344,38.085938
-0.785156,19.531250,36.621094,43.457031,39.062500
-0.781250,14.648438,35.644531,45.410156,29.785156
-0.777344,20.996094,34.179688,45.410156,21.484375
-0.773438,6.347656,31.738281,43.457031,13.671875
-0.769531,53.710938,28.808594,42.480469,31.250000
-0.765625,25.390625,35.156250,47.851562,41.503906
-0.761719,20.019531,35.644531,45.410156,35.156250
-0.757812,37.597656,31.250000,43.457031,29.785156
-0.753906,9.765625,30.273438,45.410156,19.531250
-0.750000,55.175781,26.855469,43.457031,38.574219
-0.746094,42.968750,30.761719,44.921875,50.781250
-0.742188,24.414062,36.621094,46.875000,36.621094
-0.738281,36.132812,35.644531,47.363281,29.296875
-0.734375,5.371094,35.644531,46.875000,17.089844
-0.730469,48.339844,31.738281,41.992188,25.878906
-0.726562,38.085938,31.738281,43.457031,41.992188
-0.722656,7.324219,31.738281,48.828125,36.132812
-0.718750,41.015625,24.414062,49.316406,36.132812
-0.714844,14.648438,24.414062,47.851562,25.390625
-0.710938,38.085938,29.296875,45.410156,26.855469
-0.707031,46.386719,28.808594,45.898438,41.992188
-0.703125,12.695312,37.597656,45.410156,34.667969
-0.699219,40.527344,42.480469,41.992188,28.808594
-0.695312,12.207031,36.132812,45.410156,19.531250
-0.691406,34.179688,31.250000,43.945312,24.902344
-0.687500,61.035156,32.226562,42.968750,44.433594
-0.683594,19.531250,38.085938,47.363281,38.085938
-0.679688,40.527344,37.597656,46.875000,31.738281
-0.675781,16.601562,36.132812,44.433594,20.019531
-0.671875,26.367188,29.785156,37.597656,14.648438
-0.667969,56.640625,27.832031,36.621094,36.621094
-0.664062,16.113281,32.226562,41.015625,36.132812
-0.660156,33.691406,30.761719,41.015625,31.738281
-0.656250,20.019531,32.714844,41.992188,22.460938
-0.652344,23.437500,32.714844,41.015625,22.460938
-0.648438,66.894531,31.250000,41.503906,47.851562
-0.644531,23.925781,35.156250,44.921875,41.992188
-0.640625,35.156250,33.691406,42.480469,32.714844
-0.636719,28.808594,31.738281,42.480469,27.832031
-0.632812,13.183594,30.273438,41.015625,22.460938
-0.628906,58.105469,25.878906,36.621094,41.992188
-0.625000,21.972656,26.367188,40.039062,42.968750
-0.621094,21.972656,30.273438,40.527344,32.714844
-0.617188,26.367188,31.250000,40.039062,26.367188
-0.613281,11.718750,29.296875,39.550781,23.437500
-0.609375,59.082031,27.343750,36.621094,40.527344
-0.605469,29.296875,33.691406,40.039062,44.921875
-0.601562,20.019531,33.203125,39.550781,34.179688
-0.597656,34.179688,32.226562,39.550781,24.414062
-0.593750,14.648438,31.738281,39.062500,16.601562
-0.589844,54.199219,26.855469,34.667969,33.691406
-0.585938,30.761719,24.414062,39.062500,39.550781
-0.582031,18.066406,20.507812,40.039062,28.808594
-0.578125,39.550781,25.390625,39.062500,23.437500
-0.574219,11.230469,29.296875,42.968750,15.136719
-0.570312,55.664062,31.250000,39.062500,35.644531
-0.566406,45.898438,39.550781,41.015625,49.316406
-0.562500,15.136719,34.667969,47.851562,36.132812
-0.558594,53.222656,31.250000,50.292969,43.945312
-0.554688,35.644531,41.503906,46.875000,37.597656
-0.550781,50.781250,40.039062,31.738281,23.437500
-0.546875,27.832031,38.574219,29.785156,18.066406
-0.542969,-20.507812,41.503906,33.203125,2.929688
-0.539062,-0.488281,43.945312,27.343750,-11.230469
-0.535156,-34.179688,44.921875,21.972656,-40.039062
-0.531250,-26.855469,40.527344,12.207031,-50.292969
-0.527344,-28.320312,47.363281,5.859375,-52.246094
-0.523438,-76.660156,60.546875,1.953125,-79.101562
-0.519531,-62.011719,63.964844,-4.394531,-95.703125
-0.515625,-97.656250,65.917969,-4.882812,-113.769531
-0.511719,-90.820312,62.500000,-11.718750,-119.140625
-0.507812,-69.824219,62.500000,-16.113281,-110.351562
-0.503906,-114.746094,68.359375,-15.625000,-121.582031
-0.500000,-89.843750,65.917969,-15.136719,-121.582031
-0.496094,-104.492188,62.988281,-14.160156,-125.976562
-0.492188,-85.449219,55.664062,-18.554688,-122.558594
-0.488281,-43.457031,55.664062,-20.996094,-97.656250
-0.484375,-85.937500,63.476562,-12.695312,-95.214844
-0.480469,-59.082031,60.058594,-11.718750,-92.285156
-0.476562,-58.105469,55.175781,-12.695312,-88.378906
-0.472656,-50.292969,50.781250,-9.765625,-81.542969
-0.468750,-3.417969,46.875000,-8.789062,-55.664062
-0.464844,-41.992188,48.828125,-6.835938,-49.804688
-0.460938,-16.113281,52.246094,-5.859375,-43.945312
-0.457031,-11.230469,44.433594,2.929688,-32.714844
-0.453125,-20.019531,35.156250,8.789062,-29.785156
-0.449219,27.832031,34.667969,7.324219,-9.277344
-0.445312,-6.835938,42.968750,12.695312,-2.929688
-0.441406,-1.953125,42.968750,19.042969,-5.371094
-0.437500,11.230469,43.457031,19.531250,-3.417969
-0.433594,6.835938,48.339844,19.531250,-2.929688
-0.429688,62.988281,39.550781,16.601562,18.554688
-0.425781,36.132812,43.945312,20.507812,34.179688
-0.421875,25.390625,45.898438,21.972656,25.878906
-0.417969,44.921875,41.015625,20.507812,16.601562
-0.414062,23.437500,39.550781,24.414062,10.253906
-0.410156,69.824219,38.085938,22.949219,26.367188
-0.406250,50.292969,41.992188,26.855469,41.015625
-0.402344,29.785156,41.015625,32.714844,32.226562
-0.398438,46.386719,36.621094,31.250000,28.320312
-0.394531,15.136719,36.621094,29.785156,24.414062
-0.390625,60.058594,34.179688,25.878906,36.132812
-0.386719,59.570312,34.667969,25.390625,43.945312
-0.382812,28.320312,40.039062,28.320312,33.691406
-0.378906,51.269531,39.062500,27.343750,27.343750
-0.375000,25.878906,40.527344,27.343750,19.531250
-0.371094,57.617188,38.085938,22.949219,25.878906
-0.367188,66.406250,33.691406,26.367188,45.898438
-0.363281,36.132812,39.550781,34.179688,43.945312
-0.359375,59.082031,43.457031,36.621094,42.480469
-0.355469,30.761719,41.503906,39.062500,34.667969
-0.351562,53.222656,36.621094,33.203125,34.667969
-0.347656,78.125000,38.574219,31.738281,52.246094
-0.343750,34.667969,48.339844,34.179688,41.503906
-0.339844,52.246094,48.339844,30.273438,35.156250
-0.335938,31.738281,48.339844,32.714844,28.320312
-0.332031,43.945312,41.992188,30.761719,29.785156
-0.328125,80.078125,39.550781,31.738281,48.828125
-0.324219,36.132812,43.457031,36.132812,41.503906
-0.320312,45.410156,39.550781,32.714844,33.691406
-0.316406,25.878906,41.992188,31.250000,26.855469
-0.312500,30.273438,41.015625,26.855469,24.902344
-0.308594,69.335938,36.621094,24.414062,44.921875
-0.304688,20.019531,42.480469,27.832031,40.039062
-0.300781,30.761719,41.992188,26.855469,29.296875
-0.296875,25.878906,36.621094,25.390625,22.460938
-0.292969,10.742188,36.132812,23.925781,21.484375
-0.289062,61.035156,35.644531,22.460938,41.992188
-0.285156,28.808594,41.992188,24.902344,41.015625
-0.281250,28.320312,42.480469,21.972656,27.832031
-0.277344,30.273438,41.015625,20.996094,20.507812
-0.273438,10.742188,38.085938,20.996094,14.648438
-0.269531,61.523438,31.738281,18.554688,32.226562
-0.265625,34.667969,37.597656,23.925781,38.574219
-0.261719,24.902344,40.039062,27.343750,34.179688
-0.257812,31.738281,36.621094,29.785156,32.226562
-0.253906,12.207031,32.714844,25.878906,22.460938
-0.250000,62.988281,28.320312,20.996094,36.621094
-0.246094,36.132812,34.179688,28.808594,50.292969
-0.242188,21.972656,40.039062,31.738281,45.410156
-0.238281,45.898438,35.156250,31.250000,40.039062
-0.234375,15.625000,35.156250,31.738281,28.320312
-0.230469,61.035156,35.156250,25.390625,40.039062
-0.226562,52.734375,36.621094,26.855469,52.246094
-0.222656,21.484375,37.109375,31.250000,44.433594
-0.218750,49.316406,35.644531,30.273438,38.574219
-0.214844,23.437500,37.597656,32.714844,25.878906
-0.210938,50.292969,30.761719,32.714844,34.667969
-0.207031,52.734375,33.203125,31.250000,49.804688
-0.203125,22.949219,38.085938,32.226562,43.457031
-0.199219,49.316406,35.156250,31.250000,40.039062
-0.195312,21.972656,28.808594,27.832031,25.878906
-0.191406,48.828125,22.460938,23.925781,31.738281
-0.187500,53.710938,22.949219,24.902344,44.433594
-0.183594,11.718750,32.226562,29.296875,35.156250
-0.179688,38.085938,36.621094,28.808594,31.738281
-0.175781,13.183594,31.250000,30.273438,21.484375
-0.171875,29.785156,20.507812,30.273438,29.785156
-0.167969,55.175781,17.089844,31.250000,51.757812
-0.164062,16.113281,25.390625,35.156250,42.480469
-0.160156,37.109375,27.343750,34.179688,32.714844
-0.156250,11.230469,28.320312,33.691406,22.949219
-0.152344,14.160156,27.343750,34.667969,22.460938
-0.148438,53.222656,20.507812,31.250000,38.085938
