timestamp_s,eeg_1,eeg_2,eeg_3,eeg_4
-0.890625,-130.859375,46.875000,48.828125,-16.113281
-0.886719,-109.863281,41.015625,43.457031,-38.085938
-0.882812,119.628906,24.414062,27.343750,62.011719
-0.878906,185.546875,21.972656,27.343750,99.609375
-0.875000,99.121094,28.808594,35.156250,78.613281
-0.871094,-104.492188,45.410156,46.386719,-6.347656
-0.867188,-119.628906,40.527344,45.410156,-43.457031
-0.863281,101.074219,20.996094,33.203125,50.292969
-0.859375,186.035156,20.996094,30.761719,104.492188
-0.855469,128.417969,22.460938,34.179688,99.121094
-0.851562,-76.660156,34.667969,42.968750,9.277344
-0.847656,-135.253906,43.945312,43.945312,-40.039062
-0.843750,65.917969,32.714844,33.203125,39.550781
-0.839844,175.781250,25.878906,31.738281,98.632812
-0.835938,135.742188,26.367188,35.156250,101.074219
-0.832031,-64.941406,42.480469,49.316406,18.554688
-0.828125,-152.832031,48.339844,51.269531,-41.992188
-0.824219,28.808594,32.226562,36.621094,21.484375
-0.820312,171.386719,22.949219,30.761719,93.261719
-0.816406,158.691406,25.390625,32.226562,105.957031
-0.812500,-37.109375,43.457031,45.898438,26.855469
-0.808594,-152.832031,50.781250,51.757812,-45.898438
-0.804688,4.882812,35.644531,40.527344,4.394531
-0.800781,168.457031,24.902344,33.203125,88.867188
-0.796875,174.804688,25.878906,33.203125,107.910156
-0.792969,-7.324219,41.015625,40.527344,36.132812
-0.789062,-147.949219,48.828125,49.804688,-38.574219
-0.785156,-20.507812,39.550781,42.480469,-0.976562
-0.781250,161.132812,19.531250,32.226562,88.867188
-0.777344,177.734375,18.554688,33.691406,108.886719
-0.773438,12.695312,40.039062,44.433594,48.828125
-0.769531,-145.996094,55.175781,55.175781,-29.296875
-0.765625,-49.804688,46.875000,45.410156,-11.230469
-0.761719,148.437500,28.320312,28.808594,77.636719
-0.757812,177.734375,27.832031,30.273438,97.656250
-0.753906,30.273438,39.062500,41.503906,48.339844
-0.750000,-146.484375,51.269531,48.339844,-39.550781
-0.746094,-73.242188,42.480469,41.992188,-39.550781
-0.742188,145.507812,24.902344,28.808594,64.453125
-0.738281,184.082031,23.925781,28.320312,92.285156
-0.734375,62.500000,37.109375,37.597656,56.640625
-0.730469,-130.859375,53.222656,50.292969,-29.296875
-0.726562,-89.355469,45.898438,44.921875,-46.875000
-0.722656,132.812500,26.855469,29.296875,55.664062
-0.718750,179.199219,25.390625,28.320312,89.843750
-0.714844,88.378906,32.714844,34.179688,64.941406
-0.710938,-110.351562,46.386719,48.339844,-17.578125
-0.707031,-111.816406,45.410156,46.875000,-45.410156
-0.703125,110.839844,29.785156,25.878906,48.339844
-0.699219,198.242188,36.132812,21.972656,100.097656
-0.695312,125.976562,40.039062,35.644531,90.820312
-0.691406,-94.726562,49.804688,49.316406,-12.695312
-0.687500,-127.441406,49.804688,44.433594,-57.617188
-0.683594,86.425781,31.738281,29.785156,36.621094
-0.679688,181.152344,28.320312,27.832031,92.285156
-0.675781,134.765625,27.832031,34.667969,92.285156
-0.671875,-73.730469,38.574219,48.339844,6.835938
-0.667969,-145.996094,46.386719,49.804688,-46.386719
-0.664062,51.269531,26.367188,37.597656,24.414062
-0.660156,167.968750,13.671875,30.761719,80.078125
-0.656250,141.113281,20.996094,30.761719,86.425781
-0.652344,-50.292969,46.386719,43.945312,9.277344
-0.648438,-151.855469,56.640625,51.757812,-55.664062
-0.644531,16.113281,34.667969,44.433594,5.371094
-0.640625,173.339844,21.972656,36.132812,90.332031
-0.636719,169.433594,30.761719,30.273438,105.957031
-0.632812,-26.367188,50.781250,41.992188,20.507812
-0.628906,-162.109375,54.687500,50.292969,-59.082031
-0.625000,-17.578125,37.597656,39.062500,-16.113281
-0.621094,163.574219,27.343750,32.226562,79.101562
-0.617188,180.175781,23.925781,34.179688,106.933594
-0.613281,1.953125,39.062500,46.875000,38.574219
-0.609375,-154.296875,50.292969,55.175781,-44.921875
-0.605469,-44.921875,38.574219,42.968750,-22.460938
-0.601562,142.578125,25.878906,32.226562,73.242188
-0.597656,172.851562,25.390625,33.203125,101.074219
-0.593750,16.601562,39.062500,47.363281,45.898438
-0.589844,-159.667969,53.710938,58.593750,-36.132812
-0.585938,-75.683594,44.433594,52.734375,-26.855469
-0.582031,134.765625,22.460938,39.062500,68.847656
-0.578125,173.339844,20.019531,36.132812,92.285156
-0.574219,35.156250,29.296875,49.316406,45.898438
-0.570312,-152.343750,41.503906,62.011719,-36.132812
-0.566406,-102.539062,34.179688,54.199219,-41.992188
-0.562500,115.234375,16.601562,40.039062,62.011719
-0.558594,168.945312,20.507812,39.062500,98.144531
-0.554688,63.476562,33.203125,43.457031,66.894531
-0.550781,-134.277344,48.339844,55.175781,-20.996094
-0.546875,-116.210938,44.433594,51.269531,-43.945312
-0.542969,109.863281,26.367188,35.156250,61.035156
-0.539062,175.781250,23.925781,32.714844,101.074219
-0.535156,95.703125,30.761719,37.597656,79.589844
-0.531250,-104.980469,45.898438,52.246094,-5.371094
-0.527344,-124.023438,42.968750,51.757812,-38.574219
-0.523438,95.214844,21.972656,34.667969,50.781250
-0.519531,182.617188,22.460938,28.808594,94.726562
-0.515625,124.511719,29.785156,34.179688,89.355469
-0.511719,-80.566406,46.875000,49.316406,4.394531
-0.507812,-138.671875,47.851562,46.875000,-50.781250
-0.503906,62.988281,29.785156,28.808594,26.855469
-0.500000,172.363281,24.414062,27.343750,88.867188
-0.496094,137.207031,27.343750,30.273438,96.679688
-0.492188,-60.546875,44.433594,45.410156,16.601562
-0.488281,-151.855469,46.386719,50.781250,-49.804688
-0.484375,23.437500,27.343750,32.226562,14.160156
-0.480469,160.644531,17.578125,25.390625,85.937500
-0.476562,145.996094,15.136719,27.343750,93.750000
-0.472656,-48.339844,35.644531,39.550781,17.089844
-0.468750,-163.574219,50.292969,45.898438,-54.687500
-0.464844,-6.835938,27.832031,33.691406,-6.835938
-0.460938,158.691406,16.601562,27.343750,78.613281
-0.457031,162.109375,24.414062,27.343750,96.191406
-0.453125,-18.066406,44.921875,38.574219,26.367188
-0.449219,-157.226562,61.523438,48.339844,-50.292969
-0.445312,-32.226562,42.968750,38.574219,-19.531250
-0.441406,153.808594,25.390625,25.878906,74.218750
-0.437500,171.386719,25.878906,26.367188,95.214844
-0.433594,4.882812,39.062500,36.621094,31.738281
-0.429688,-153.808594,49.316406,45.898438,-46.875000
-0.425781,-52.246094,42.968750,40.527344,-27.343750
-0.421875,148.437500,28.320312,30.273438,72.265625
-0.417969,180.175781,25.390625,32.226562,98.632812
-0.414062,39.550781,36.621094,42.968750,52.246094
-0.410156,-145.019531,47.851562,51.269531,-31.250000
-0.406250,-78.613281,38.085938,43.457031,-30.273438
-0.402344,135.253906,18.554688,31.250000,73.730469
-0.398438,177.734375,17.578125,32.226562,100.585938
-0.394531,60.546875,29.785156,39.550781,65.429688
-0.390625,-135.253906,41.992188,49.804688,-22.460938
-0.386719,-94.726562,35.156250,49.316406,-39.062500
-0.382812,127.929688,20.507812,36.621094,68.359375
-0.378906,180.175781,20.996094,33.691406,103.027344
-0.375000,84.960938,26.367188,40.527344,72.265625
-0.371094,-119.140625,38.574219,50.781250,-18.554688
-0.367188,-116.699219,38.574219,49.804688,-45.410156
-0.363281,105.468750,17.578125,36.621094,54.687500
-0.359375,181.152344,7.324219,32.714844,97.656250
-0.355469,112.792969,18.066406,33.203125,84.960938
-0.351562,-97.167969,41.503906,44.921875,-3.417969
-0.347656,-137.207031,47.851562,47.363281,-46.875000
-0.343750,75.195312,29.296875,29.785156,37.597656
-0.339844,179.687500,20.507812,25.878906,88.378906
-0.335938,137.695312,21.484375,31.738281,97.656250
-0.332031,-48.828125,41.015625,44.433594,26.855469
-0.328125,-115.722656,56.152344,41.503906,-39.550781
-0.324219,56.640625,37.109375,21.972656,8.789062
-0.320312,179.687500,28.320312,17.578125,73.242188
-0.316406,163.574219,33.691406,19.042969,92.285156
-0.312500,-37.109375,48.828125,30.273438,11.718750
-0.308594,-141.601562,59.082031,34.667969,-50.292969
-0.304688,20.019531,43.945312,18.066406,0.488281
-0.300781,166.503906,31.250000,8.300781,72.265625
-0.296875,166.503906,29.296875,5.859375,83.984375
-0.292969,-20.996094,52.734375,16.113281,3.906250
-0.289062,-148.437500,66.406250,22.949219,-67.382812
-0.285156,0.488281,49.804688,13.183594,-20.507812
-0.281250,177.246094,37.109375,5.371094,74.218750
-0.277344,187.011719,39.062500,5.371094,94.726562
-0.273438,12.695312,52.246094,19.042969,29.785156
-0.269531,-145.507812,57.617188,27.343750,-49.804688
-0.265625,-32.714844,46.386719,18.554688,-26.855469
-0.261719,164.550781,34.667969,11.230469,75.195312
-0.257812,184.570312,34.179688,14.160156,100.097656
-0.253906,28.808594,47.851562,23.437500,39.550781
-0.250000,-137.695312,57.617188,32.226562,-43.457031
-0.246094,-53.222656,48.339844,26.855469,-36.621094
-0.242188,155.761719,33.203125,16.113281,66.894531
-0.238281,195.312500,28.320312,17.089844,98.144531
-0.234375,64.453125,40.039062,26.855469,58.105469
-0.230469,-124.023438,57.128906,37.597656,-22.460938
-0.226562,-75.195312,47.363281,31.250000,-28.808594
